"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30645","test_question_title_match[chromium-4]","","Tue May 20 16:12:06 GMT 2025","skipped","Tue May 20 16:12:36 GMT 2025","","test_questions","",""
"","528","test_pagination_empty_page[chromium]","","Tue May 20 16:11:50 GMT 2025","passed","Tue May 20 16:11:50 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка соответствия данных пагинации между UI и API","1596","Сравнение данных пагинации между UI и API","","Tue May 20 16:11:48 GMT 2025","passed","Tue May 20 16:11:50 GMT 2025","TestTagsPagination","test_tags","",""
"","1625","test_click_collectives_button[chromium]","","Tue May 20 16:12:28 GMT 2025","passed","Tue May 20 16:12:29 GMT 2025","","test_dashboard","",""
"Проверка корректности количества тегов при разных значениях pagesize","189","Проверка размера страницы через API","","Tue May 20 16:11:52 GMT 2025","passed","Tue May 20 16:11:52 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка что на странице отображается 36 тегов по умолчанию","1904","Проверка количества тегов на странице по умолчанию (36)","","Tue May 20 16:11:41 GMT 2025","passed","Tue May 20 16:11:43 GMT 2025","TestTagsPagination","test_tags","",""
"","7647","Авторизация с корректными учетными данными","","Tue May 20 16:11:53 GMT 2025","skipped","Tue May 20 16:12:00 GMT 2025","TestLogin","test_login","",""
"","4878","Выход из профиля (Log Out), используя панель","","Tue May 20 16:11:45 GMT 2025","passed","Tue May 20 16:11:50 GMT 2025","","test_dashboard","",""
"Проверка корректности перехода между страницами","1651","Проверка перехода между страницами","","Tue May 20 16:11:46 GMT 2025","passed","Tue May 20 16:11:48 GMT 2025","TestTagsPagination","test_tags","",""
"","0","test_search[chromium]","","Tue May 20 16:12:32 GMT 2025","skipped","Tue May 20 16:12:32 GMT 2025","","test_dashboard","",""
"","1","MOCK: Проверка размера страницы через API","","Tue May 20 16:11:53 GMT 2025","passed","Tue May 20 16:11:53 GMT 2025","","test_tags","",""
"","30631","test_question_title_match[chromium-79535884]","","Tue May 20 16:12:37 GMT 2025","skipped","Tue May 20 16:13:07 GMT 2025","","test_questions","",""
"","1921","test_click_questions_button[chromium]","","Tue May 20 16:12:30 GMT 2025","passed","Tue May 20 16:12:31 GMT 2025","","test_dashboard","",""
"","2025","test_click_users_button[chromium]","","Tue May 20 16:11:52 GMT 2025","passed","Tue May 20 16:11:54 GMT 2025","","test_dashboard","",""
"","0","test_create_question[chromium]","","Tue May 20 16:11:57 GMT 2025","skipped","Tue May 20 16:11:57 GMT 2025","","test_questions","",""
"","31154","test_click_companies_button[chromium]","","Tue May 20 16:11:54 GMT 2025","broken","Tue May 20 16:12:25 GMT 2025","","test_dashboard","",""
"Проверка корректности количества тегов при разных значениях pagesize","170","Проверка размера страницы через API","","Tue May 20 16:11:52 GMT 2025","passed","Tue May 20 16:11:52 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка корректности перехода между страницами","1070","Проверка перехода между страницами","","Tue May 20 16:11:43 GMT 2025","passed","Tue May 20 16:11:44 GMT 2025","TestTagsPagination","test_tags","",""
"Проверка что на 1 странице не отображается кнопка Prev","1152","Проверка отображения кнопки Prev на 1 странице","","Tue May 20 16:11:51 GMT 2025","passed","Tue May 20 16:11:52 GMT 2025","TestTagsPagination","test_tags","",""
"","226","test_API_users[chromium]","","Tue May 20 16:12:05 GMT 2025","passed","Tue May 20 16:12:05 GMT 2025","","test_questions","",""
"Тест входа с неправильными учетными данными","3107","Авторизация с некорректными учетными данными","","Tue May 20 16:11:41 GMT 2025","passed","Tue May 20 16:11:44 GMT 2025","TestLogin","test_login","",""
"","0","test_welcome_message[chromium]","","Tue May 20 16:12:00 GMT 2025","skipped","Tue May 20 16:12:00 GMT 2025","","test_home","",""
"Проверка корректности количества тегов при разных значениях pagesize","116","Проверка размера страницы через API","","Tue May 20 16:11:52 GMT 2025","passed","Tue May 20 16:11:52 GMT 2025","TestTagsPagination","test_tags","",""
"","8431","Авторизация с корректными учетными данными","","Tue May 20 16:11:44 GMT 2025","skipped","Tue May 20 16:11:52 GMT 2025","TestLogin","test_login","",""
"","1784","test_click_discussions_button[chromium]","","Tue May 20 16:12:26 GMT 2025","passed","Tue May 20 16:12:28 GMT 2025","","test_dashboard","",""
"Проверка корректности перехода между страницами","1840","Проверка перехода между страницами","","Tue May 20 16:11:44 GMT 2025","passed","Tue May 20 16:11:46 GMT 2025","TestTagsPagination","test_tags","",""
"","13061","test_create_duplicate_question[chromium]","","Tue May 20 16:11:44 GMT 2025","passed","Tue May 20 16:11:57 GMT 2025","","test_questions","",""
"","0","test_discard_question[chromium]","","Tue May 20 16:11:57 GMT 2025","skipped","Tue May 20 16:11:57 GMT 2025","","test_questions","",""
"Переход со страницы /questions на страницу /tags нажатием соответствующей кнопки","1856","Переход со страницы /questions на страницу /tags","","Tue May 20 16:11:50 GMT 2025","passed","Tue May 20 16:11:52 GMT 2025","","test_dashboard","",""
"","120","test_pagination_pagesize","","Tue May 20 16:11:52 GMT 2025","passed","Tue May 20 16:11:52 GMT 2025","TestTagsPagination","test_tags","",""
